date,account_value
2015-03-04,140463.01193089294
2015-03-05,142338.37655491638
2015-03-06,139497.80013890075
2015-03-09,138936.2905868988
2015-03-10,135614.94506687927
2015-03-11,134462.5596909027
2015-03-12,137350.84789891052
2015-03-13,136007.62655491638
2015-03-16,137024.22372288513
2015-03-17,136499.4164108734
2015-03-18,137681.15685887146
2015-03-19,136983.84789891052
2015-03-20,138910.59789891052
2015-03-23,137670.13610691833
2015-03-24,137295.80013890075
2015-03-25,136147.08834690857
2015-03-26,134822.22372288513
2015-03-27,136000.2905868988
2015-03-30,137479.30013890075
2015-03-31,136565.47372288513
2015-04-01,135890.19506687927
2015-04-02,136620.5214828949
2015-04-06,138378.45461888122
2015-04-07,137413.24282688904
2015-04-08,139905.17596287536
2015-04-09,140763.95461888122
2015-04-10,140437.31924290466
2015-04-13,140330.88610691833
2015-04-14,141340.13610691833
2015-04-15,140730.92596287536
2015-04-16,141681.45461888122
2015-04-17,137835.2905868988
2015-04-20,142954.94506687927
2015-04-21,143567.8287949066
2015-04-22,143061.36700291443
2015-04-23,143131.09789891052
2015-04-24,163356.47372288513
2015-04-27,160956.2905868988
2015-04-28,157561.5405868988
2015-04-29,157583.5596909027
2015-04-30,154798.03103489685
2015-05-01,155198.0596909027
2015-05-04,155260.45461888122
2015-05-05,154581.502378891
2015-05-06,153814.47372288513
2015-05-07,156669.73327488708
2015-05-08,159169.002378891
2015-05-11,158860.72372288513
2015-05-12,158189.10745091247
2015-05-13,156666.0596909027
2015-05-14,158651.53103489685
2015-05-15,156346.7714828949
2015-05-18,156067.84789891052
2015-05-19,154772.33834690857
2015-05-20,155561.38610691833
2015-05-21,158412.98327488708
2015-05-22,156944.98327488708
2015-05-26,156152.26193089294
2015-05-27,158335.9164108734
2015-05-28,156555.96417088318
2015-05-29,157532.18551487732
2015-06-01,158152.4164108734
2015-06-02,158178.09789891052
2015-06-03,160233.30013890075
2015-06-04,158101.03103489685
2015-06-05,156695.42596287536
2015-06-08,155429.2714828949
2015-06-09,156155.93551487732
2015-06-10,158097.35745091247
2015-06-11,158904.76193089294
2015-06-12,157785.4164108734
2015-06-15,155491.6664108734
2015-06-16,156805.18140052794
2015-06-17,157006.5996605377
2015-06-18,161256.46593251036
2015-06-19,159615.9754845123
2015-06-22,160118.76369252012
2015-06-23,163678.65697254942
2015-06-24,161788.60921253965
2015-06-25,161517.03279652403
2015-06-26,160783.03279652403
2015-06-29,157758.94518055723
2015-06-30,159311.35921253965
2015-07-01,160522.46593251036
2015-07-02,160639.89742054747
2015-07-06,160027.01369252012
2015-07-07,160276.57100453184
2015-07-08,157700.23503651426
2015-07-09,159421.46593251036
2015-07-10,162768.50414051817
2015-07-13,167194.52324452208
2015-07-14,170864.52324452208
2015-07-15,169257.0614525299
2015-07-16,174501.49458851622
2015-07-17,177265.00414051817
2015-07-20,179133.03279652403
2015-07-21,179096.3305565338
2015-07-22,179195.41652455137
2015-07-23,176960.3878685455
2015-07-24,194297.46428456114
2015-07-27,195027.79070057676
2015-07-28,193053.35130848692
2015-07-29,194143.3305565338
2015-07-30,196991.25414051817
2015-07-31,196767.38951649473
2015-08-03,196356.35130848692
2015-08-04,195207.63951649473
2015-08-05,197083.00414051817
2015-08-06,194312.15862049864
2015-08-07,191801.8687645416
2015-08-10,192308.3305565338
2015-08-11,193578.15862049864
2015-08-12,193009.29070057676
2015-08-13,194385.54070057676
2015-08-14,195068.17772450254
2015-08-17,196426.05980458067
2015-08-18,196352.67772450254
2015-08-19,195581.96428456114
2015-08-20,189291.60130848692
2015-08-21,181470.82100453184
2015-08-24,170057.1187645416
2015-08-25,171158.1187645416
2015-08-26,183782.91652455137
2015-08-27,190242.1187645416
2015-08-28,190110.00414051817
2015-08-31,188230.96593251036
2015-09-01,182230.51369252012
2015-09-02,187372.17607655333
2015-09-03,185232.57100453184
2015-09-04,183133.3305565338
2015-09-08,189937.50249256895
2015-09-09,189698.96593251036
2015-09-10,191662.40697254942
2015-09-11,194304.8114525299
2015-09-14,191346.79234852598
2015-09-15,191710.1187645416
2015-09-16,193552.46593251036
2015-09-17,197765.6187645416
2015-09-18,198275.75414051817
2015-09-21,201259.46593251036
2015-09-22,197593.13951649473
2015-09-23,196738.02324452208
2015-09-24,195886.5805565338
2015-09-25,192400.0805565338
2015-09-28,184990.3496605377
2015-09-29,182058.02324452208
2015-09-30,187863.96593251036
2015-10-01,191104.55980458067
2015-10-02,195442.50249256895
2015-10-05,199530.8878685455
2015-10-06,197255.48338856504
2015-10-07,198892.3114525299
2015-10-08,195670.04070057676
2015-10-09,198106.92607655333
2015-10-12,201920.0614525299
2015-10-13,201446.63951649473
2015-10-14,199952.94682850645
2015-10-15,206415.8114525299
2015-10-16,209469.25414051817
2015-10-19,210346.38951649473
2015-10-20,205843.29234852598
2015-10-21,203967.92772450254
2015-10-22,206955.29070057676
2015-10-23,219844.35130848692
2015-10-26,223360.19518055723
2015-10-27,224241.00414051817
2015-10-28,226476.02159657286
